table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,seed,2,59.71,59.713604,0.003604,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,seed,3,57.89,57.890215,0.000215,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,mean,,55.56,55.560859,0.000859,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,se,,1.93,1.928121,0.001879,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,0,53.94,53.937947,0.002053,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,1,57.37,57.374702,0.004702,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,2,65.93,65.928401,0.001599,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,3,63.38,63.379475,0.000525,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,mean,,60.16,60.155131,0.004869,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,se,,2.74,2.740304,0.000304,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,0,55.89,55.894988,0.004988,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,1,57.41,57.412888,0.002888,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,2,66.57,66.568019,0.001981,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,3,64.57,64.572792,0.002792,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,mean,,61.11,61.112172,0.002172,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,se,,2.62,2.624339,0.004339,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,0,59.4,59.400545,0.000545,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,1,62.13,62.125341,0.004659,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,2,37.87,37.874659,0.004659,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,3,58.86,58.855586,0.004414,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,mean,,54.56,54.564033,0.004033,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,se,,5.61,5.608905,0.001095,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,0,61.31,61.307902,0.002098,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,1,62.4,62.39782,0.00218,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,2,41.42,41.416894,0.003106,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,3,58.31,58.310627,0.000627,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,mean,,55.86,55.858311,0.001689,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,se,,4.89,4.890736,0.000736,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,0,61.04,61.035422,0.004578,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,1,64.03,64.032698,0.002698,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,2,42.51,42.506812,0.003188,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,3,60.22,60.217984,0.002016,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,mean,,56.95,56.948229,0.001771,MATCH,per_seed_main_nlp
